datetime,open,high,low,close,volume
2025-04-29 08:00:00,210.65,211.01,210.32,210.7,4008.0
2025-04-29 08:01:00,210.79,211.04,210.77,210.97,1109.0
2025-04-29 08:02:00,210.76,211.1,210.76,211.1,1436.0
2025-04-29 08:05:00,210.92,210.92,210.9,210.9,485.0
2025-04-29 08:07:00,210.95,210.96,210.95,210.96,857.0
2025-04-29 08:09:00,210.77,210.77,210.75,210.75,2386.0
2025-04-29 08:14:00,210.69,210.7,210.66,210.7,505.0
2025-04-29 08:17:00,210.78,210.78,210.78,210.78,734.0
2025-04-29 08:18:00,210.78,210.78,210.78,210.78,708.0
2025-04-29 08:19:00,210.81,210.81,210.81,210.81,276.0
2025-04-29 08:20:00,210.8,210.81,210.8,210.8,784.0
2025-04-29 08:21:00,210.8,210.8,210.8,210.8,1205.0
2025-04-29 08:22:00,210.8,210.8,210.8,210.8,1410.0
2025-04-29 08:26:00,210.82,210.88,210.82,210.87,1452.0
2025-04-29 08:28:00,210.98,211.0,210.98,211.0,1852.0
2025-04-29 08:29:00,210.92,210.92,210.91,210.91,650.0
2025-04-29 08:30:00,210.91,210.91,210.91,210.91,145.0
2025-04-29 08:33:00,210.9,210.9,210.9,210.9,298.0
2025-04-29 08:37:00,210.97,210.98,210.96,210.97,1012.0
2025-04-29 08:46:00,210.97,210.97,210.97,210.97,231.0
2025-04-29 08:48:00,210.99,210.99,210.99,210.99,236.0
2025-04-29 08:53:00,211.0,211.0,211.0,211.0,1008.0
2025-04-29 08:54:00,211.05,211.05,211.05,211.05,659.0
2025-04-29 08:55:00,211.04,211.04,211.04,211.04,215.0
2025-04-29 08:57:00,211.02,211.02,211.02,211.02,239.0
2025-04-29 08:58:00,211.03,211.03,211.03,211.03,665.0
2025-04-29 08:59:00,211.0,211.0,211.0,211.0,217.0
2025-04-29 09:05:00,211.04,211.04,211.03,211.03,588.0
2025-04-29 09:06:00,210.99,210.99,210.92,210.92,580.0
2025-04-29 09:10:00,210.93,210.93,210.88,210.88,1691.0
2025-04-29 09:11:00,210.84,210.84,210.84,210.84,553.0
2025-04-29 09:12:00,210.84,210.84,210.84,210.84,295.0
2025-04-29 09:14:00,210.82,210.82,210.82,210.82,299.0
2025-04-29 09:15:00,210.83,210.83,210.83,210.83,172.0
2025-04-29 09:19:00,210.87,210.87,210.81,210.81,528.0
2025-04-29 09:20:00,210.75,210.75,210.75,210.75,525.0
2025-04-29 09:22:00,210.76,210.76,210.76,210.76,518.0
2025-04-29 09:26:00,210.75,210.75,210.75,210.75,837.0
2025-04-29 09:29:00,210.84,210.84,210.84,210.84,186.0
2025-04-29 09:30:00,210.86,210.86,210.86,210.86,532.0
2025-04-29 09:31:00,210.81,210.81,210.81,210.81,237.0
2025-04-29 09:35:00,210.86,210.86,210.86,210.86,633.0
2025-04-29 09:39:00,210.86,210.86,210.86,210.86,349.0
2025-04-29 09:48:00,210.87,210.87,210.87,210.87,392.0
2025-04-29 09:54:00,210.87,210.87,210.87,210.87,139.0
2025-04-29 10:00:00,210.92,210.92,210.92,210.92,566.0
2025-04-29 10:01:00,210.93,210.93,210.85,210.85,3583.0
2025-04-29 10:04:00,210.8,210.8,210.77,210.77,633.0
2025-04-29 10:05:00,210.75,210.75,210.75,210.75,309.0
2025-04-29 10:14:00,210.8,210.8,210.8,210.8,131.0
2025-04-29 10:16:00,210.88,210.88,210.88,210.88,444.0
2025-04-29 10:18:00,210.83,210.83,210.83,210.83,423.0
2025-04-29 10:19:00,210.75,210.75,210.75,210.75,2789.0
2025-04-29 10:20:00,210.69,210.71,210.69,210.71,913.0
2025-04-29 10:21:00,210.75,210.75,210.75,210.75,465.0
2025-04-29 10:32:00,210.75,210.75,210.75,210.75,979.0
2025-04-29 10:33:00,210.75,210.75,210.63,210.63,1050.0
2025-04-29 10:34:00,210.68,210.68,210.55,210.55,3216.0
2025-04-29 10:36:00,210.65,210.65,210.65,210.65,365.0
2025-04-29 10:37:00,210.64,210.64,210.64,210.64,134.0
2025-04-29 10:38:00,210.65,210.65,210.65,210.65,172.0
2025-04-29 10:39:00,210.6,210.6,210.6,210.6,1200.0
2025-04-29 10:40:00,210.46,210.46,210.46,210.46,1097.0
2025-04-29 10:41:00,210.58,210.58,210.58,210.58,211.0
2025-04-29 10:46:00,210.48,210.49,210.39,210.4,1883.0
2025-04-29 10:47:00,210.39,210.4,210.0,210.22,7093.0
2025-04-29 10:48:00,210.22,210.22,209.99,210.02,9404.0
2025-04-29 10:49:00,209.78,209.89,209.78,209.89,1129.0
2025-04-29 10:50:00,209.9,210.05,209.85,210.05,3052.0
2025-04-29 10:53:00,210.02,210.02,210.02,210.02,1287.0
2025-04-29 10:55:00,210.0,210.0,209.99,209.99,3055.0
2025-04-29 10:56:00,209.97,209.97,209.97,209.97,445.0
2025-04-29 11:00:00,210.37,210.53,210.36,210.39,3319.0
2025-04-29 11:03:00,210.3,210.3,210.3,210.3,537.0
2025-04-29 11:05:00,210.3,210.3,210.29,210.29,569.0
2025-04-29 11:07:00,210.4,210.46,210.4,210.46,1584.0
2025-04-29 11:08:00,210.4,210.41,210.4,210.41,467.0
2025-04-29 11:12:00,210.4,210.41,210.4,210.4,782.0
2025-04-29 11:13:00,210.44,210.44,210.44,210.44,418.0
2025-04-29 11:15:00,210.42,210.42,210.42,210.42,977.0
2025-04-29 11:17:00,210.45,210.45,210.43,210.43,1449.0
2025-04-29 11:18:00,210.5,210.6,210.5,210.6,357.0
2025-04-29 11:20:00,210.58,210.6,210.58,210.6,1140.0
2025-04-29 11:21:00,210.57,210.57,210.57,210.57,453.0
2025-04-29 11:30:00,210.5,210.5,210.5,210.5,1010.0
2025-04-29 11:38:00,210.5,210.5,210.4,210.4,1308.0
2025-04-29 11:40:00,210.23,210.33,210.23,210.33,924.0
2025-04-29 11:44:00,210.34,210.34,210.34,210.34,339.0
2025-04-29 11:49:00,210.41,210.41,210.41,210.41,365.0
2025-04-29 11:55:00,210.29,210.29,210.29,210.29,330.0
2025-04-29 11:56:00,210.3,210.3,210.3,210.3,1392.0
2025-04-29 11:57:00,210.27,210.27,210.27,210.27,201.0
2025-04-29 11:58:00,210.28,210.29,210.28,210.29,423.0
2025-04-29 11:59:00,210.34,210.34,210.31,210.31,1057.0
2025-04-29 12:00:00,210.4,211.16,210.24,210.42,35376.0
2025-04-29 12:01:00,210.35,210.43,210.35,210.43,2667.0
2025-04-29 12:02:00,210.32,210.32,210.32,210.32,552.0
2025-04-29 12:04:00,210.43,210.45,210.31,210.45,1298.0
2025-04-29 12:06:00,210.3214,210.52,210.3214,210.52,465.0
2025-04-29 12:08:00,210.4,210.4,210.31,210.31,884.0
2025-04-29 12:10:00,210.31,210.31,210.31,210.31,1201.0
2025-04-29 12:11:00,210.3201,210.3201,210.32,210.32,394.0
2025-04-29 12:12:00,210.31,210.31,210.26,210.26,4538.0
2025-04-29 12:13:00,210.36,210.44,210.36,210.44,1269.0
2025-04-29 12:14:00,210.36,210.42,210.35,210.42,827.0
2025-04-29 12:15:00,210.36,210.36,210.35,210.35,3136.0
2025-04-29 12:16:00,210.35,210.35,210.3,210.33,558.0
2025-04-29 12:17:00,210.31,210.32,210.3,210.31,2965.0
2025-04-29 12:18:00,210.27,210.27,210.27,210.27,1045.0
2025-04-29 12:20:00,210.02,210.1295,210.01,210.1295,1756.0
2025-04-29 12:22:00,210.01,210.02,209.59,209.8891,15627.0
2025-04-29 12:23:00,209.794,209.794,209.66,209.66,339.0
2025-04-29 12:24:00,209.75,209.75,209.75,209.75,507.0
2025-04-29 12:25:00,209.61,209.61,209.61,209.61,424.0
2025-04-29 12:26:00,209.75,209.77,209.75,209.77,443.0
2025-04-29 12:27:00,209.78,209.9298,209.78,209.91,2863.0
2025-04-29 12:28:00,209.95,210.1897,209.95,210.1897,946.0
2025-04-29 12:29:00,210.12,210.12,210.06,210.06,361.0
2025-04-29 12:30:00,210.0,210.0,210.0,210.0,1254.0
2025-04-29 12:31:00,210.14,210.14,210.1365,210.1365,325.0
2025-04-29 12:32:00,210.05,210.05,210.05,210.05,1178.0
2025-04-29 12:33:00,210.21,210.22,210.1,210.1,2500951.0
2025-04-29 12:34:00,210.01,210.15,210.01,210.15,314.0
2025-04-29 12:35:00,210.21,210.245,210.05,210.245,1841.0
2025-04-29 12:36:00,210.06,210.06,210.06,210.06,363.0
2025-04-29 12:38:00,210.2,210.2,210.2,210.2,638.0
2025-04-29 12:40:00,210.24,210.25,210.1352,210.1352,1371.0
2025-04-29 12:41:00,210.3,210.3,210.3,210.3,348.0
2025-04-29 12:42:00,210.3,210.43,210.26,210.26,5020.0
